Id,Label,Index_Year
何巨源,何巨源,
余正父(字),余正父(字),
余潔,余潔,
吳伯英(字),吳伯英(字),
吳伯遊,吳伯遊,
吳知先,吳知先,
吳南,吳南,
吳浩,吳浩,
吳楶,吳楶,
杜煜,杜煜,
金去偽,金去偽,
金朋說,金朋說,
徐寓,徐寓,
徐昭然,徐昭然,
郭叔雲,郭叔雲,
張宗說,張宗說,
張彥清,張彥清,1155
張顯父,張顯父,1157
陳範,陳範,1184
陳邦衡,陳邦衡,
馮洽,馮洽,
馮椅,馮椅,1163
馮允中,馮允中,
游倪,游倪,
游儆,游儆,
童伯羽,童伯羽,
曾祖道,曾祖道,
曾逢震,曾逢震,
曾興宗,曾興宗,1146
黃卓,黃卓,
黃寅,黃寅,
黃士毅,黃士毅,
黃孝恭,黃孝恭,
黃義勇,黃義勇,
黃義剛,黃義剛,
黃顯子,黃顯子,
賀善,賀善,
傅修,傅修,1139
程樗,程樗,
程若中,程若中,
楊驤,楊驤,
楊友直,楊友直,
楊道夫,楊道夫,
楊若海,楊若海,
楊與立,楊與立,1186
楊履正,楊履正,
董拱壽,董拱壽,
萬人英,萬人英,
萬人傑,萬人傑,
葉震,葉震,
葉文炳,葉文炳,1150
葉武子,葉武子,1183
葉任道,葉任道,1192
詹介,詹介,
詹淳,詹淳,
鄒輗,鄒輗,
鄒補之,鄒補之,1145
廖謙,廖謙,1157
廖晉卿(字),廖晉卿(字),
趙唐卿,趙唐卿,
趙師,趙師,1160
趙師恕,趙師恕,
熊兆,熊兆,
潘時舉,潘時舉,
鄭文遹,鄭文遹,1168
鄭申之,鄭申之,1139
鄭南升,鄭南升,
鄭師孟,鄭師孟,
鄧絅,鄧絅,
鄧聘君,鄧聘君,
歐陽光祖,歐陽光祖,1142
歐陽謙之,歐陽謙之,
蔡念成,蔡念成,
黎貴臣,黎貴臣,
劉砥,劉砥,
劉賁,劉賁,
劉鏡,劉鏡,
劉礪,劉礪,
劉剛中,劉剛中,1181
蕭佐,蕭佐,
錢木之,錢木之,
戴智老,戴智老,
魏椿,魏椿,
嚴世文,嚴世文,
饒克明(字),饒克明(字),
蘇實,蘇實,
蘇宜久(字),蘇宜久(字),
魏丙,魏丙,
戴邁,戴邁,
戴明伯(字),戴明伯(字),
鍾震,鍾震,
鍾子,鍾子,
蕭增光(字),蕭增光(字),
蕭景昭(字),蕭景昭(字),
蕭長夫,蕭長夫,
黎季成,黎季成,
閭丘次孟(字),閭丘次孟(字),
鍾唐傑(字),鍾唐傑(字),
鄧子禮,鄧子禮,
鄭光弼,鄭光弼,
鄭仲履,鄭仲履,
陳日善(字),陳日善(字),
陳仲卿,陳仲卿,
李文,李文,
李約之,李約之,
李雄,李雄,
李維申,李維申,
李夢先,李夢先,
李德之,李德之,
汪正甫,汪正甫,
汪季良,汪季良,
辛適正,辛適正,
周介,周介,
周方,周方,1216
周亨仲,周亨仲,1143
周樁,周樁,
周震亨,周震亨,
林子淵,林子淵,
林仁寶,林仁寶,
林仲參,林仲參,
林充之,林充之,
林性之,林性之,
林恪,林恪,
林恭甫,林恭甫,
林揆,林揆,
林賜,林賜,
季容甫,季容甫,
邵漢臣,邵漢臣,
俞潔己,俞潔己,
南城熊,南城熊,
姜大中,姜大中,
胡杓,胡杓,
唐總卿,唐總卿,
徐子顏,徐子顏,
徐元震,徐元震,
徐孟實,徐孟實,
徐彥章,徐彥章,
徐容,徐容,
徐琳,徐琳,
袁子節,袁子節,
馬節之,馬節之,
張公巽,張公巽,
張仁叟(字),張仁叟(字),
張以道(字),張以道(字),
梁謙,梁謙,
許子春,許子春,
許閎,許閎,
許敬之(字),許敬之(字),
郭友仁,郭友仁,
郭植,郭植,
郭逍遙,郭逍遙,
陳士直,陳士直,
陳子安(字),陳子安(字),
陳公直(字),陳公直(字),
陳希周,陳希周,
陳希真,陳希真,
陳芝,陳芝,
陳邦鑰,陳邦鑰,
陳厚之,陳厚之,
陳祖永,陳祖永,
陳寅仲(字),陳寅仲(字),
陳寅伯(字),陳寅伯(字),
陳華,陳華,
陳萃,陳萃,
陳敬之,陳敬之,
陳齊仲,陳齊仲,
陳夢良,陳夢良,
陶安國(字),陶安國(字),
陸伯振,陸伯振,
舒高,舒高,
傅君定(字),傅君定(字),
傅定,傅定,
傅修,傅修,
馮德英(字),馮德英(字),
黃子功,黃子功,
黃有開,黃有開,
黃景申,黃景申,
黃達才(字),黃達才(字),
黃謙,黃謙,
楊黻,楊黻,
詹觀,詹觀,
輔萬,輔萬,
劉定夫,劉定夫,1153
劉居之,劉居之,
劉思忠,劉思忠,1151
劉棟,劉棟,
劉源,劉源,
魯可幾(字),魯可幾(字),
德先(字),德先(字),
滕玶,滕玶,
蔣元進,蔣元進,
蔣叔蒙,蔣叔蒙,
蔣明之(字),蔣明之(字),
蔣端夫(字),蔣端夫(字),
鄭大錫,鄭大錫,
譚,譚,
蔡㦛,蔡㦛,
王樞,王樞,1115
江致一,江致一,
陳貽範,陳貽範,1037
劉民先,劉民先,1037
王觀,王觀,1027
饒子儀,饒子儀,
林晟,林晟,
鄧潤甫,鄧潤甫,1019
李山甫,李山甫,1019
廖平,廖平,1031
陳漢公,陳漢公,1004
陳次公,陳次公,1016
陳次山,陳次山,1023
廖廷玉,廖廷玉,
鄧立,鄧立,1009
鄧仲甫,鄧仲甫,1039
陳光遠,陳光遠,1055
陳光道,陳光道,1029
陳君平,陳君平,988
